Fylke,Fylkenavn,Kommune,KommuneID,Parti,ForhåndsStemmer,StemmerTotalt,ProsentAndel,EndringStemmer03,EndringFordeling03,EndringStemmer01,EndringFordeling01
2,Akershus,Vestby,0211,DEM,2,8,0.1,2,0,8,0.1
2,Akershus,Vestby,0211,KSP,0,3,0,3,0,-6,-0.1
2,Akershus,Vestby,0211,KYST,2,21,0.3,10,0.1,-31,-0.5
2,Akershus,Vestby,0211,MDG,3,23,0.3,23,0.3,2,0
2,Akershus,Vestby,0211,PP,19,54,0.7,-2,-0.3,-2,-0.1
2,Akershus,Vestby,0211,RP,0,2,0,2,0,2,0
2,Akershus,Vestby,0211,ABORT,0,9,0.1,9,0.1,9,0.1
2,Akershus,Vestby,0211,Andre2,0,0,0,-80,-1.4,-17,-0.2
2,Akershus,Ski,0213,A,787,5064,32.4,1949,5.6,1667,9.3
2,Akershus,Ski,0213,SV,243,1307,8.4,-337,-5.8,-797,-5.9
2,Akershus,Ski,0213,RV,25,126,0.8,126,0.8,16,0.1
2,Akershus,Ski,0213,SP,84,583,3.7,129,-0.2,186,1
2,Akershus,Ski,0213,KRF,132,648,4.1,173,0.1,-631,-4.5
2,Akershus,Ski,0213,V,124,1030,6.6,606,2.9,448,2.6
2,Akershus,Ski,0213,H,419,2968,19,163,-5.1,-1369,-10.4
2,Akershus,Ski,0213,FRP,570,3703,23.7,1508,4.8,1523,8.9
2,Akershus,Ski,0213,DEM,0,7,0,-6,-0.1,7,0
2,Akershus,Ski,0213,KSP,2,15,0.1,15,0.1,-1,0
2,Akershus,Ski,0213,KYST,1,27,0.2,5,0,-50,-0.3
2,Akershus,Ski,0213,MDG,3,21,0.1,21,0.1,-11,-0.1
2,Akershus,Ski,0213,PP,45,127,0.8,-182,-1.8,-63,-0.5
2,Akershus,Ski,0213,RP,0,4,0,4,0,4,0
2,Akershus,Ski,0213,ABORT,1,5,0,5,0,5,0
2,Akershus,Ski,0213,Andre2,0,0,0,-184,-1.6,-39,-0.3
2,Akershus,Ås,0214,A,308,2317,28.8,646,2.6,681,7.5
2,Akershus,Ås,0214,SV,189,895,11.1,-165,-5.5,-299,-4.4
2,Akershus,Ås,0214,RV,22,101,1.3,101,1.3,17,0.2
2,Akershus,Ås,0214,SP,121,824,10.2,111,-1,130,1.2
2,Akershus,Ås,0214,KRF,66,388,4.8,71,-0.2,-389,-5.3
